dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
33,0.858125,0.671633,1.259916,0.975584,0.401791,0.401791,0.479743,436
1003,1.057144,0.868087,1.458376,1.095166,0.401232,0.401232,0.406035,437
339,1.012929,0.833712,1.414129,1.067789,0.401199,0.401199,0.418820,438
241,0.958242,0.822621,1.359258,1.034295,0.401015,0.401015,0.429136,439
709,0.938921,0.777278,1.339233,1.005003,0.400312,0.400312,0.445591,440
43,0.959008,0.806107,1.358564,1.022897,0.399555,0.399555,0.433873,441
230,1.035608,0.910252,1.434409,1.101125,0.398801,0.398801,0.394772,442
324,1.210614,1.009637,1.609291,1.238269,0.398677,0.398677,0.352889,443
17,0.928164,0.782177,1.326788,0.996142,0.398623,0.398623,0.445105,444
373,0.791231,0.690244,1.189461,0.917741,0.398230,0.398230,0.490432,445
216,0.980695,0.761785,1.378394,1.033847,0.397699,0.397699,0.437964,446
118,0.991168,0.801042,1.388619,1.099227,0.397451,0.397451,0.413254,447
676,0.992688,0.867446,1.390132,1.041888,0.397444,0.397444,0.414591,448
561,0.977439,0.808882,1.374829,1.067708,0.397389,0.397389,0.419551,449
1014,0.958240,0.747874,1.355395,1.048208,0.397155,0.397155,0.436190,450
477,1.244507,0.985142,1.641657,1.220100,0.397151,0.397151,0.358161,451
336,0.964780,0.819507,1.361715,1.037295,0.396935,0.396935,0.424636,452
539,1.371725,1.151401,1.768549,1.297484,0.396824,0.396824,0.323510,453
446,0.986756,0.819768,1.383326,1.047156,0.396571,0.396571,0.421722,454
44,0.891178,0.757121,1.287688,0.971644,0.396510,0.396510,0.455229,455
579,0.859787,0.661199,1.256150,0.957212,0.396363,0.396363,0.481825,456
15,1.044101,0.922144,1.439612,1.096585,0.395511,0.395511,0.390387,457
788,0.824061,0.642063,1.218775,0.928334,0.394714,0.394714,0.494544,458
151,1.046064,0.900706,1.440714,1.078291,0.394650,0.394650,0.397242,459
597,0.928281,0.774489,1.322353,1.010314,0.394072,0.394072,0.437782,460
694,1.038602,0.856428,1.432585,1.114825,0.393983,0.393983,0.396338,461
875,1.035334,0.909855,1.429214,1.065133,0.393880,0.393880,0.397641,462
360,0.899837,0.731502,1.293397,0.970761,0.393560,0.393560,0.457896,463
191,1.062329,0.831668,1.455838,1.093387,0.393509,0.393509,0.405102,464
958,1.021368,0.831278,1.414423,1.092090,0.393054,0.393054,0.405008,465
685,1.010974,0.800148,1.403861,1.062241,0.392887,0.392887,0.417800,466
254,0.984651,0.835221,1.377434,1.033439,0.392784,0.392784,0.418045,467
119,0.914528,0.724831,1.307014,0.997104,0.392486,0.392486,0.450272,468
682,0.967286,0.800537,1.359662,1.014690,0.392376,0.392376,0.429339,469
232,1.131865,0.951164,1.524091,1.203663,0.392226,0.392226,0.361571,470
363,0.911505,0.762498,1.303486,0.982026,0.391981,0.391981,0.445868,471
864,0.994379,0.780841,1.386246,1.024409,0.391868,0.391868,0.430244,472
765,0.972632,0.829364,1.364287,1.036956,0.391655,0.391655,0.417135,473
962,0.917562,0.746877,1.309113,0.994081,0.391551,0.391551,0.445344,474
569,1.084234,0.893268,1.475707,1.157624,0.391473,0.391473,0.378626,475
818,0.981085,0.818303,1.372471,1.023854,0.391387,0.391387,0.422301,476
591,0.948015,0.842578,1.338950,1.039757,0.390936,0.390936,0.413113,477
505,0.997909,0.812464,1.388714,1.015972,0.390805,0.390805,0.424852,478
356,1.274200,1.015360,1.664971,1.241048,0.390771,0.390771,0.344646,479
422,1.178538,0.974179,1.569100,1.160696,0.390563,0.390563,0.364499,480
245,1.091226,0.866996,1.481250,1.145890,0.390023,0.390023,0.383860,481
270,1.130907,0.880002,1.520528,1.151438,0.389621,0.389621,0.380212,482
772,1.210325,0.950988,1.599657,1.217468,0.389332,0.389332,0.356405,483
451,0.987741,0.781015,1.376895,1.050819,0.389153,0.389153,0.420344,484
583,1.112935,0.924154,1.502069,1.158200,0.389134,0.389134,0.371405,485
