pair_idx,pitch_semi,tempo_bpm,mean_delta,broad_cat
4241,,90,0.915603,2. Original + DSP
4242,,95,0.909192,2. Original + DSP
4243,,105,0.826237,2. Original + DSP
4244,,110,0.985111,2. Original + DSP
4245,,110,0.966480,2. Original + DSP
4246,,90,0.982489,2. Original + DSP
4251,,90,0.865505,2. Original + DSP
4252,,95,0.900485,2. Original + DSP
4253,,105,0.893276,2. Original + DSP
4254,,110,0.924002,2. Original + DSP
4255,,110,0.958394,2. Original + DSP
4256,,90,0.935986,2. Original + DSP
4261,,90,0.834659,2. Original + DSP
4262,,95,0.823448,2. Original + DSP
4263,,105,0.817470,2. Original + DSP
4264,,110,0.842299,2. Original + DSP
4265,,110,0.740678,2. Original + DSP
4266,,90,0.805987,2. Original + DSP
4271,,90,0.240096,2. Original + DSP
4272,,95,0.159495,2. Original + DSP
4273,,105,0.157832,2. Original + DSP
4274,,110,0.148688,2. Original + DSP
4275,,110,0.859421,2. Original + DSP
4276,,90,0.216707,2. Original + DSP
4281,,90,0.414590,2. Original + DSP
4282,,95,0.269759,2. Original + DSP
4283,,105,0.687140,2. Original + DSP
4284,,110,0.941276,2. Original + DSP
4285,,110,0.886472,2. Original + DSP
4286,,90,0.590186,2. Original + DSP
4291,,90,0.655327,2. Original + DSP
4292,,95,0.659938,2. Original + DSP
4293,,105,0.244867,2. Original + DSP
4294,,110,0.484500,2. Original + DSP
4295,,110,0.729540,2. Original + DSP
4296,,90,0.487881,2. Original + DSP
4301,,90,0.853213,2. Original + DSP
4302,,95,0.693637,2. Original + DSP
4303,,105,0.814683,2. Original + DSP
4304,,110,0.715192,2. Original + DSP
4305,,110,0.767519,2. Original + DSP
4306,,90,0.846144,2. Original + DSP
4311,,90,0.244549,2. Original + DSP
4312,,95,0.239064,2. Original + DSP
4313,,105,0.210021,2. Original + DSP
4314,,110,0.225198,2. Original + DSP
4315,,110,0.280971,2. Original + DSP
4316,,90,0.336063,2. Original + DSP
4321,,90,0.197156,2. Original + DSP
4322,,95,0.209693,2. Original + DSP
4323,,105,0.173849,2. Original + DSP
4324,,110,0.148349,2. Original + DSP
4325,,110,0.234655,2. Original + DSP
4326,,90,0.401540,2. Original + DSP
4331,,90,0.303648,2. Original + DSP
4332,,95,0.239038,2. Original + DSP
4333,,105,0.260929,2. Original + DSP
4334,,110,0.216023,2. Original + DSP
4335,,110,0.308902,2. Original + DSP
4336,,90,0.407129,2. Original + DSP
4341,,90,0.192442,2. Original + DSP
4342,,95,0.167730,2. Original + DSP
4343,,105,0.185874,2. Original + DSP
4344,,110,0.174205,2. Original + DSP
4345,,110,0.427702,2. Original + DSP
4346,,90,0.261098,2. Original + DSP
4351,,90,0.236962,2. Original + DSP
4352,,95,0.191782,2. Original + DSP
4353,,105,0.139735,2. Original + DSP
4354,,110,0.119268,2. Original + DSP
4355,,110,0.196867,2. Original + DSP
4356,,90,0.293475,2. Original + DSP
4361,,90,0.349140,2. Original + DSP
4362,,95,0.375579,2. Original + DSP
4363,,105,0.289970,2. Original + DSP
4364,,110,0.420366,2. Original + DSP
4365,,110,0.448126,2. Original + DSP
4366,,90,1.023949,2. Original + DSP
4371,,90,0.501323,2. Original + DSP
4372,,95,0.584802,2. Original + DSP
4373,,105,0.515487,2. Original + DSP
4374,,110,0.742100,2. Original + DSP
4375,,110,0.487747,2. Original + DSP
4376,,90,0.510180,2. Original + DSP
4381,,90,0.483347,2. Original + DSP
4382,,95,0.630648,2. Original + DSP
4383,,105,0.439689,2. Original + DSP
4384,,110,0.381127,2. Original + DSP
4385,,110,0.828176,2. Original + DSP
4386,,90,0.978294,2. Original + DSP
4391,,90,0.222261,2. Original + DSP
4392,,95,0.506074,2. Original + DSP
4393,,105,0.525042,2. Original + DSP
4394,,110,0.186780,2. Original + DSP
4395,,110,0.326508,2. Original + DSP
4396,,90,0.474249,2. Original + DSP
4401,,90,0.846169,2. Original + DSP
4402,,95,0.674446,2. Original + DSP
4403,,105,0.575508,2. Original + DSP
4404,,110,0.815504,2. Original + DSP
4405,,110,1.068003,2. Original + DSP
4406,,90,0.724318,2. Original + DSP
4411,,90,0.652071,2. Original + DSP
4412,,95,0.523207,2. Original + DSP
4413,,105,0.241424,2. Original + DSP
4414,,110,0.565765,2. Original + DSP
4415,,110,0.431290,2. Original + DSP
4416,,90,0.865357,2. Original + DSP
4421,,90,0.296327,2. Original + DSP
4422,,95,0.329218,2. Original + DSP
4423,,105,0.259516,2. Original + DSP
4424,,110,0.366915,2. Original + DSP
4425,,110,0.446237,2. Original + DSP
4426,,90,0.458624,2. Original + DSP
4431,,90,0.694777,2. Original + DSP
4432,,95,0.971121,2. Original + DSP
4433,,105,0.696688,2. Original + DSP
4434,,110,0.699317,2. Original + DSP
4435,,110,0.695931,2. Original + DSP
4436,,90,0.978548,2. Original + DSP
4441,,90,0.962990,2. Original + DSP
4442,,95,0.931999,2. Original + DSP
4443,,105,1.039669,2. Original + DSP
4444,,110,0.961470,2. Original + DSP
4445,,110,0.933781,2. Original + DSP
4446,,90,0.943694,2. Original + DSP
4451,,90,0.912336,2. Original + DSP
4452,,95,0.900495,2. Original + DSP
4453,,105,0.887967,2. Original + DSP
4454,,110,0.912186,2. Original + DSP
4455,,110,0.846455,2. Original + DSP
4456,,90,0.887155,2. Original + DSP
4461,,90,0.227974,2. Original + DSP
4462,,95,0.261887,2. Original + DSP
4463,,105,0.241566,2. Original + DSP
4464,,110,0.265376,2. Original + DSP
4465,,110,0.293847,2. Original + DSP
4466,,90,0.333899,2. Original + DSP
4471,,90,0.179863,2. Original + DSP
4472,,95,0.171091,2. Original + DSP
4473,,105,0.203017,2. Original + DSP
4474,,110,0.161920,2. Original + DSP
4475,,110,0.172299,2. Original + DSP
4476,,90,0.307995,2. Original + DSP
4481,,90,0.184923,2. Original + DSP
4482,,95,0.162364,2. Original + DSP
4483,,105,0.212884,2. Original + DSP
4484,,110,0.173066,2. Original + DSP
4485,,110,0.308945,2. Original + DSP
4486,,90,0.401911,2. Original + DSP
4491,,90,0.497107,2. Original + DSP
4492,,95,0.207396,2. Original + DSP
4493,,105,0.514934,2. Original + DSP
4494,,110,0.264982,2. Original + DSP
4495,,110,0.498759,2. Original + DSP
4496,,90,0.244721,2. Original + DSP
4501,,90,0.156104,2. Original + DSP
4502,,95,0.190467,2. Original + DSP
4503,,105,0.341263,2. Original + DSP
4504,,110,0.345670,2. Original + DSP
4505,,110,0.324539,2. Original + DSP
4506,,90,0.379527,2. Original + DSP
4511,,90,0.390894,2. Original + DSP
4512,,95,0.375941,2. Original + DSP
4513,,105,0.208595,2. Original + DSP
4514,,110,0.211830,2. Original + DSP
4515,,110,0.693190,2. Original + DSP
4516,,90,0.555696,2. Original + DSP
4521,,90,0.300300,2. Original + DSP
4522,,95,0.467725,2. Original + DSP
4523,,105,0.287630,2. Original + DSP
4524,,110,0.490729,2. Original + DSP
4525,,110,0.380411,2. Original + DSP
4526,,90,0.510592,2. Original + DSP
4531,,90,0.146405,2. Original + DSP
4532,,95,0.161633,2. Original + DSP
4533,,105,0.166383,2. Original + DSP
4534,,110,0.175583,2. Original + DSP
4535,,110,0.750967,2. Original + DSP
4536,,90,0.200314,2. Original + DSP
4541,,90,0.180643,2. Original + DSP
4542,,95,0.190880,2. Original + DSP
4543,,105,0.116009,2. Original + DSP
4544,,110,0.125938,2. Original + DSP
4545,,110,0.481745,2. Original + DSP
4546,,90,0.191280,2. Original + DSP
4551,,90,0.543025,2. Original + DSP
4552,,95,0.476390,2. Original + DSP
4553,,105,0.564990,2. Original + DSP
4554,,110,0.580557,2. Original + DSP
4555,,110,0.484245,2. Original + DSP
4556,,90,0.812137,2. Original + DSP
4561,,90,0.125657,2. Original + DSP
4562,,95,0.145823,2. Original + DSP
4563,,105,0.149342,2. Original + DSP
4564,,110,0.145897,2. Original + DSP
4565,,110,0.288026,2. Original + DSP
4566,,90,0.251544,2. Original + DSP
4571,,90,0.200530,2. Original + DSP
4572,,95,0.166554,2. Original + DSP
4573,,105,0.126201,2. Original + DSP
4574,,110,0.194038,2. Original + DSP
4575,,110,0.193855,2. Original + DSP
4576,,90,0.397181,2. Original + DSP
4581,,90,0.272588,2. Original + DSP
4582,,95,0.266587,2. Original + DSP
4583,,105,0.189771,2. Original + DSP
4584,,110,0.191142,2. Original + DSP
4585,,110,0.387413,2. Original + DSP
4586,,90,0.450768,2. Original + DSP
4591,,90,0.254113,2. Original + DSP
4592,,95,0.187872,2. Original + DSP
4593,,105,0.188969,2. Original + DSP
4594,,110,0.181897,2. Original + DSP
4595,,110,0.344085,2. Original + DSP
4596,,90,0.752404,2. Original + DSP
4601,,90,0.192480,2. Original + DSP
4602,,95,0.131813,2. Original + DSP
4603,,105,0.237038,2. Original + DSP
4604,,110,0.435011,2. Original + DSP
4605,,110,0.385887,2. Original + DSP
4606,,90,0.402562,2. Original + DSP
4611,,90,0.640930,2. Original + DSP
4612,,95,0.615513,2. Original + DSP
4613,,105,0.700130,2. Original + DSP
4614,,110,0.722132,2. Original + DSP
4615,,110,0.654506,2. Original + DSP
4616,,90,0.548735,2. Original + DSP
4621,,90,0.286298,2. Original + DSP
4622,,95,0.616274,2. Original + DSP
4623,,105,0.651657,2. Original + DSP
4624,,110,0.235481,2. Original + DSP
4625,,110,0.615504,2. Original + DSP
4626,,90,0.620421,2. Original + DSP
4631,,90,0.129817,2. Original + DSP
4632,,95,0.738925,2. Original + DSP
4633,,105,0.546119,2. Original + DSP
4634,,110,0.167053,2. Original + DSP
4635,,110,0.360885,2. Original + DSP
4636,,90,0.391524,2. Original + DSP
4641,,90,0.750234,2. Original + DSP
4642,,95,0.154845,2. Original + DSP
4643,,105,0.590223,2. Original + DSP
4644,,110,0.415905,2. Original + DSP
4645,,110,0.356167,2. Original + DSP
4646,,90,0.961804,2. Original + DSP
4651,,90,0.203911,2. Original + DSP
4652,,95,0.663532,2. Original + DSP
4653,,105,0.473844,2. Original + DSP
4654,,110,0.607000,2. Original + DSP
4655,,110,0.594805,2. Original + DSP
4656,,90,0.642285,2. Original + DSP
4661,,90,0.236117,2. Original + DSP
4662,,95,0.717806,2. Original + DSP
4663,,105,0.347998,2. Original + DSP
4664,,110,0.294536,2. Original + DSP
4665,,110,0.707010,2. Original + DSP
4666,,90,0.721646,2. Original + DSP
4671,,90,0.245452,2. Original + DSP
4672,,95,0.222674,2. Original + DSP
4673,,105,0.131501,2. Original + DSP
4674,,110,0.163282,2. Original + DSP
4675,,110,0.389182,2. Original + DSP
4676,,90,0.568107,2. Original + DSP
4681,,90,0.216181,2. Original + DSP
4682,,95,0.250706,2. Original + DSP
4683,,105,0.189082,2. Original + DSP
4684,,110,0.216633,2. Original + DSP
4685,,110,0.458985,2. Original + DSP
4686,,90,0.321244,2. Original + DSP
4691,,90,0.695530,2. Original + DSP
4692,,95,0.946426,2. Original + DSP
4693,,105,0.920193,2. Original + DSP
4694,,110,0.714923,2. Original + DSP
4695,,110,0.612131,2. Original + DSP
4696,,90,0.735135,2. Original + DSP
4701,,90,0.874434,2. Original + DSP
4702,,95,0.502338,2. Original + DSP
4703,,105,0.388607,2. Original + DSP
4704,,110,0.447939,2. Original + DSP
4705,,110,0.418172,2. Original + DSP
4706,,90,0.881486,2. Original + DSP
4711,,90,0.631242,2. Original + DSP
4712,,95,0.351636,2. Original + DSP
4713,,105,0.689669,2. Original + DSP
4714,,110,0.705674,2. Original + DSP
4715,,110,0.412983,2. Original + DSP
4716,,90,0.675376,2. Original + DSP
4721,,90,0.902626,2. Original + DSP
4722,,95,1.061862,2. Original + DSP
4723,,105,0.988045,2. Original + DSP
4724,,110,0.883943,2. Original + DSP
4725,,110,1.039757,2. Original + DSP
4726,,90,1.043339,2. Original + DSP
4731,,90,0.680767,2. Original + DSP
4732,,95,0.654756,2. Original + DSP
4733,,105,0.705881,2. Original + DSP
4734,,110,0.714323,2. Original + DSP
4735,,110,0.754835,2. Original + DSP
4736,,90,0.746431,2. Original + DSP
4741,,90,0.816331,2. Original + DSP
4742,,95,0.847747,2. Original + DSP
4743,,105,0.869144,2. Original + DSP
4744,,110,0.837542,2. Original + DSP
4745,,110,0.865145,2. Original + DSP
4746,,90,0.832181,2. Original + DSP
4751,,90,0.876671,2. Original + DSP
4752,,95,0.268763,2. Original + DSP
4753,,105,0.601397,2. Original + DSP
4754,,110,0.366233,2. Original + DSP
4755,,110,0.741863,2. Original + DSP
4756,,90,0.975602,2. Original + DSP
4761,,90,1.029667,2. Original + DSP
4762,,95,1.090363,2. Original + DSP
4763,,105,0.989135,2. Original + DSP
4764,,110,0.967481,2. Original + DSP
4765,,110,1.057786,2. Original + DSP
4766,,90,0.990572,2. Original + DSP
4771,,90,0.876980,2. Original + DSP
4772,,95,0.807687,2. Original + DSP
4773,,105,0.904497,2. Original + DSP
4774,,110,0.802111,2. Original + DSP
4775,,110,0.947164,2. Original + DSP
4776,,90,0.939908,2. Original + DSP
4781,,90,0.966542,2. Original + DSP
4782,,95,0.922970,2. Original + DSP
4783,,105,0.843263,2. Original + DSP
4784,,110,0.961920,2. Original + DSP
4785,,110,0.938438,2. Original + DSP
4786,,90,1.049452,2. Original + DSP
4791,,90,0.676329,2. Original + DSP
4792,,95,0.932992,2. Original + DSP
4793,,105,0.979778,2. Original + DSP
4794,,110,0.793537,2. Original + DSP
4795,,110,0.925427,2. Original + DSP
4796,,90,0.867113,2. Original + DSP
4801,,90,0.952501,2. Original + DSP
4802,,95,0.932198,2. Original + DSP
4803,,105,1.028943,2. Original + DSP
4804,,110,0.843488,2. Original + DSP
4805,,110,0.872114,2. Original + DSP
4806,,90,0.833134,2. Original + DSP
4811,,90,0.865045,2. Original + DSP
4812,,95,0.829706,2. Original + DSP
4813,,105,0.814472,2. Original + DSP
4814,,110,0.943411,2. Original + DSP
4815,,110,1.077633,2. Original + DSP
4816,,90,0.915777,2. Original + DSP
4821,,90,0.991112,2. Original + DSP
4822,,95,0.924150,2. Original + DSP
4823,,105,0.909562,2. Original + DSP
4824,,110,0.933545,2. Original + DSP
4825,,110,1.075043,2. Original + DSP
4826,,90,0.884169,2. Original + DSP
4831,,90,0.891138,2. Original + DSP
4832,,95,0.863559,2. Original + DSP
4833,,105,0.983537,2. Original + DSP
4834,,110,0.897285,2. Original + DSP
4835,,110,0.954539,2. Original + DSP
4836,,90,0.960069,2. Original + DSP
4841,,90,0.822515,2. Original + DSP
4842,,95,0.861982,2. Original + DSP
4843,,105,0.808145,2. Original + DSP
4844,,110,0.826848,2. Original + DSP
4845,,110,0.886101,2. Original + DSP
4846,,90,0.925628,2. Original + DSP
4851,,90,0.873907,2. Original + DSP
4852,,95,0.735940,2. Original + DSP
4853,,105,0.890522,2. Original + DSP
4854,,110,0.806141,2. Original + DSP
4855,,110,0.749519,2. Original + DSP
4856,,90,0.849149,2. Original + DSP
4861,,90,0.810809,2. Original + DSP
4862,,95,0.841277,2. Original + DSP
4863,,105,0.826607,2. Original + DSP
4864,,110,0.888594,2. Original + DSP
4865,,110,0.929720,2. Original + DSP
4866,,90,0.910965,2. Original + DSP
4871,,90,0.726991,2. Original + DSP
4872,,95,0.958670,2. Original + DSP
4873,,105,0.722627,2. Original + DSP
4874,,110,0.953013,2. Original + DSP
4875,,110,0.996956,2. Original + DSP
4876,,90,0.983836,2. Original + DSP
4881,,90,0.987256,2. Original + DSP
4882,,95,0.669447,2. Original + DSP
4883,,105,0.610429,2. Original + DSP
4884,,110,0.565851,2. Original + DSP
4885,,110,0.990778,2. Original + DSP
4886,,90,1.005139,2. Original + DSP
4891,,90,0.734905,2. Original + DSP
4892,,95,0.189454,2. Original + DSP
4893,,105,0.787561,2. Original + DSP
4894,,110,0.244974,2. Original + DSP
4895,,110,0.215734,2. Original + DSP
4896,,90,0.723714,2. Original + DSP
4901,,90,0.894614,2. Original + DSP
4902,,95,0.735700,2. Original + DSP
4903,,105,0.726607,2. Original + DSP
4904,,110,0.672550,2. Original + DSP
4905,,110,0.730259,2. Original + DSP
4906,,90,0.815470,2. Original + DSP
4911,,90,0.702195,2. Original + DSP
4912,,95,0.633605,2. Original + DSP
4913,,105,0.990109,2. Original + DSP
