dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
522,0.365745,1.165647,0.356853,1.205958,0.007925,1.225948,0.294015,1.174103,-0.051558,1.237149,0.358686,1.140849,-0.024884,0.581861,0.400810,1.179815,0.014398,1.534830,0.386205,1.137226,0.001651,1.540977
523,-0.166984,1.276314,-0.090245,1.322782,0.135535,1.439797,0.024772,1.270500,0.247528,1.423561,-0.102994,1.230120,0.011688,0.610202,-1.036481,1.253651,-0.922076,1.709281,-0.977786,1.212614,-0.864288,1.695735
524,-0.002118,1.195417,-0.075446,1.174624,-0.060968,1.133006,0.020600,1.165356,0.032437,1.177277,0.051267,1.178054,0.045185,0.555590,0.305986,1.274914,0.298049,1.703227,0.183590,1.289713,0.175736,1.711923
525,0.237575,1.128787,0.240275,1.042728,0.049963,1.313148,0.353500,1.144727,0.169654,1.411433,0.287157,1.153216,0.000164,0.626126,-0.112214,1.313467,-0.397192,1.648079,-0.033406,1.269056,-0.321635,1.633412
526,-0.234875,0.933209,-0.087061,0.922270,0.168673,1.031883,0.014499,0.972380,0.271243,1.095833,-0.122608,1.010069,0.090532,0.551068,0.282343,1.153782,0.495778,1.469852,0.342502,1.143393,0.557412,1.471295
527,0.377176,1.462312,0.812636,1.418390,0.584358,1.506052,0.756044,1.430341,0.529219,1.578557,0.518270,1.467751,-0.002540,0.631002,0.406553,1.536855,-0.111877,2.018752,0.521270,1.519484,0.002579,2.027554
528,-0.288440,1.356391,-0.150650,1.288760,0.160104,1.398101,-0.248520,1.348393,0.061635,1.383167,-0.309856,1.389468,-0.041441,0.648030,-0.945404,1.385900,-0.678419,1.887050,-1.096575,1.378305,-0.828857,1.898547
529,-0.158556,1.098201,-0.152788,1.096006,0.009762,1.127200,-0.073939,1.109700,0.085628,1.190932,-0.051108,1.127691,0.105103,0.566431,0.512292,1.199835,0.670112,1.543762,0.602081,1.188278,0.759685,1.551140
530,-0.677761,1.737678,-0.366094,1.801519,0.351842,1.620561,-0.345771,1.829370,0.366649,1.628794,-0.588888,1.753139,0.055369,0.709632,0.228952,1.277634,0.874351,2.014742,0.126596,1.316421,0.770853,2.062576
531,0.256578,1.155595,0.463956,1.196135,0.219090,1.314721,0.584529,1.286260,0.335977,1.345680,0.369891,1.245306,0.103262,0.610711,0.715055,1.416417,0.453572,1.776646,0.894819,1.406629,0.630711,1.780887
532,-0.569666,1.648703,-0.539215,1.477384,0.142798,1.510610,-0.585689,1.499928,0.095899,1.485431,-0.483790,1.575452,-0.019307,0.661711,-1.003107,1.407173,-0.538690,2.029677,-0.959314,1.420752,-0.495998,2.081645
533,0.157394,1.244662,-0.145473,1.348568,-0.378725,1.247660,-0.184204,1.307439,-0.413675,1.281946,0.031970,1.260206,-0.054550,0.572043,-0.183253,1.097587,-0.275529,1.583179,-0.171181,1.121027,-0.260479,1.608854
534,-0.114173,1.445891,-0.100005,1.440464,-0.001872,1.510806,-0.165239,1.407268,-0.068032,1.549054,-0.175566,1.426907,-0.044221,0.695844,0.010487,1.282535,0.137362,1.855448,0.028380,1.252756,0.158372,1.872800
535,0.489672,1.107182,0.388057,1.200162,-0.091134,1.265782,0.395287,1.240645,-0.080356,1.287519,0.491828,1.176260,-0.011350,0.541872,0.549853,1.296127,0.049714,1.580489,0.585204,1.283029,0.082628,1.596323
