dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
508,0.854773,0.684070,0.698447,4.684463,0.109607,0.821769,0.894048,0.926628,0.616521,0.810067,0.861578,269
464,0.854838,0.675118,0.699841,4.814734,0.096852,0.833908,0.926896,0.911202,0.657166,0.814532,0.859743,270
56,0.854999,0.678559,0.696826,5.167797,0.106662,0.842785,0.820513,0.848148,0.655951,0.926008,0.963307,271
238,0.855359,0.656825,0.717009,4.694406,0.128238,0.827087,0.955366,0.955976,0.607088,0.802714,0.814292,272
427,0.855460,0.693652,0.689784,5.511921,0.102105,0.844598,0.933523,0.892262,0.645755,0.860366,0.891082,273
361,0.856580,0.693326,0.692240,5.279214,0.097116,0.841916,0.917339,0.903635,0.651861,0.860024,0.876721,274
131,0.857716,0.678393,0.703758,5.030975,0.093063,0.845107,0.845307,0.879538,0.666803,0.918504,0.915381,275
490,0.857767,0.671642,0.705478,4.727694,0.091462,0.842128,0.898759,0.891163,0.661220,0.861627,0.897870,276
450,0.858639,0.689039,0.699204,5.308724,0.120209,0.831309,0.929649,0.941971,0.607566,0.829625,0.847736,277
193,0.858780,0.673089,0.701957,4.866489,0.126234,0.828311,0.943371,0.950560,0.602535,0.807540,0.837551,278
398,0.859326,0.692422,0.697272,5.355995,0.105210,0.837547,0.884005,0.903963,0.628551,0.870169,0.901047,279
228,0.859965,0.682584,0.703046,6.058733,0.111204,0.853350,0.969503,0.912434,0.643041,0.872311,0.869462,280
117,0.860138,0.659586,0.722838,4.251876,0.101881,0.828962,0.897158,0.923497,0.638712,0.813244,0.872201,281
103,0.860239,0.683606,0.708121,5.021242,0.094335,0.847420,0.868231,0.888953,0.661225,0.909321,0.909367,282
23,0.860669,0.753228,0.661732,5.979946,0.102748,0.845982,0.946061,0.926234,0.655521,0.852208,0.849883,283
224,0.861425,0.696143,0.696851,5.651354,0.098644,0.850206,0.920183,0.888066,0.655733,0.874163,0.912888,284
68,0.861568,0.688209,0.697834,5.400029,0.097790,0.840206,0.888177,0.898576,0.647376,0.859137,0.907766,285
39,0.861621,0.660794,0.723604,4.526534,0.119734,0.833266,0.896477,0.927650,0.598033,0.857452,0.886720,286
266,0.861885,0.686367,0.705242,5.573014,0.117304,0.841976,0.957576,0.933033,0.625558,0.835420,0.858294,287
399,0.861947,0.684394,0.704243,5.043604,0.109473,0.845126,0.911836,0.898561,0.628064,0.873532,0.913638,288
250,0.862000,0.709699,0.686173,5.246466,0.095703,0.849666,0.857002,0.863075,0.670908,0.904968,0.952376,289
274,0.862240,0.684312,0.709606,5.554241,0.092665,0.845097,0.900547,0.904696,0.661514,0.868048,0.890677,290
226,0.862670,0.669435,0.712879,4.731837,0.119267,0.854595,0.886729,0.858523,0.629349,0.922315,0.976058,291
80,0.863588,0.681470,0.707258,5.729913,0.115061,0.834067,0.935139,0.940211,0.625377,0.810715,0.858892,292
277,0.864111,0.677120,0.712206,5.295731,0.096632,0.840539,0.833264,0.893760,0.656517,0.895302,0.923850,293
21,0.865253,0.692235,0.706770,4.712075,0.098290,0.842240,0.870402,0.900003,0.648838,0.873671,0.918284,294
150,0.865801,0.704172,0.696911,5.347074,0.093229,0.844195,0.907030,0.920848,0.663920,0.852263,0.876912,295
29,0.866033,0.690698,0.708134,5.259885,0.103096,0.846627,0.906180,0.911988,0.642227,0.872462,0.900277,296
199,0.866506,0.690243,0.704622,5.284357,0.092443,0.850174,0.890770,0.905537,0.665734,0.887984,0.900846,297
312,0.866529,0.723379,0.692839,5.860458,0.100384,0.852034,0.904962,0.882685,0.656237,0.876430,0.939855,298
476,0.866931,0.688327,0.713053,5.081562,0.121353,0.841264,0.968183,0.942472,0.627311,0.807676,0.860678,299
206,0.867209,0.661040,0.734237,5.010927,0.136062,0.853631,1.024115,0.951233,0.622901,0.830511,0.839396,300
45,0.867930,0.701960,0.705936,5.792695,0.107501,0.847428,0.914286,0.919203,0.635121,0.870632,0.897901,301
486,0.868042,0.697202,0.703546,4.743464,0.123394,0.858815,0.956933,0.896608,0.616943,0.889895,0.933698,302
507,0.868320,0.679938,0.723528,4.917345,0.117074,0.843157,0.924134,0.918808,0.615731,0.846760,0.910352,303
457,0.868611,0.664523,0.731867,5.384390,0.117802,0.847899,0.955227,0.931661,0.625040,0.845338,0.882229,304
434,0.868618,0.693806,0.710808,6.181670,0.096890,0.839069,0.916666,0.948360,0.670277,0.817407,0.842636,305
433,0.870066,0.679042,0.714477,4.516109,0.146337,0.840155,0.993540,0.968296,0.583485,0.806084,0.849372,306
154,0.870087,0.697880,0.703154,4.982210,0.099777,0.852255,0.946685,0.936282,0.668537,0.850779,0.858995,307
