category,rank,dimension,mean_delta,std_delta
tempo095,24,869,2.030184,1.273546
tempo095,25,93,2.023585,1.275347
tempo095,26,364,2.016701,1.319834
tempo095,27,468,2.008660,1.482338
tempo095,28,612,2.007676,1.885351
tempo095,29,940,2.005360,1.393516
tempo095,30,704,1.997285,1.105512
tempo105,1,880,2.045171,1.631746
tempo105,2,629,1.979233,1.707287
tempo105,3,70,1.886119,1.580496
tempo105,4,963,1.879247,1.489641
tempo105,5,4,1.850752,1.589000
tempo105,6,757,1.817115,1.428885
tempo105,7,45,1.770951,1.378493
tempo105,8,941,1.733977,1.444359
tempo105,9,419,1.709308,1.410314
tempo105,10,427,1.694908,1.368858
tempo105,11,995,1.691698,1.336481
tempo105,12,47,1.688859,1.409589
tempo105,13,834,1.655818,1.470558
tempo105,14,611,1.655189,1.231829
tempo105,15,612,1.650864,1.454401
tempo105,16,698,1.644471,1.462433
tempo105,17,861,1.610646,1.465836
tempo105,18,211,1.608025,1.479737
tempo105,19,749,1.603703,1.218981
tempo105,20,1006,1.595679,1.362644
tempo105,21,400,1.590451,1.381826
tempo105,22,640,1.576805,1.345702
tempo105,23,673,1.573480,1.511233
tempo105,24,145,1.569690,1.448988
tempo105,25,443,1.556429,1.181232
tempo105,26,1001,1.555929,1.304374
tempo105,27,999,1.544656,1.200758
tempo105,28,951,1.538238,1.307624
tempo105,29,355,1.537704,1.221800
tempo105,30,822,1.533608,1.306031
tempo110,1,880,2.069125,1.681078
tempo110,2,629,1.996492,1.754054
tempo110,3,963,1.882141,1.487533
tempo110,4,70,1.877287,1.585685
tempo110,5,757,1.861762,1.467037
tempo110,6,4,1.850485,1.604558
tempo110,7,45,1.794750,1.384984
tempo110,8,941,1.773986,1.438955
tempo110,9,419,1.715322,1.373626
tempo110,10,211,1.690068,1.478962
tempo110,11,698,1.688876,1.487624
tempo110,12,995,1.686651,1.353626
tempo110,13,427,1.680907,1.335773
tempo110,14,47,1.679829,1.402372
tempo110,15,611,1.660111,1.244304
tempo110,16,612,1.659930,1.418875
tempo110,17,749,1.649259,1.248064
tempo110,18,861,1.637431,1.508204
tempo110,19,834,1.634800,1.464257
tempo110,20,673,1.605941,1.507516
tempo110,21,640,1.585471,1.357732
tempo110,22,1006,1.574996,1.333647
tempo110,23,443,1.574908,1.157900
tempo110,24,331,1.571429,1.341461
tempo110,25,1001,1.563651,1.286628
tempo110,26,355,1.561140,1.235403
tempo110,27,400,1.560038,1.328980
tempo110,28,999,1.554884,1.180516
tempo110,29,145,1.552612,1.398960
tempo110,30,951,1.546848,1.329084
