dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
427,0.227983,0.847154,0.139079,0.978814,-0.121415,1.192542,0.134538,0.895457,-0.125956,1.130492,0.161263,0.836921,-0.032268,0.881517,0.284677,0.724518,0.091146,1.093338,0.317042,0.718329,0.123512,1.121109
428,-0.457871,0.761242,-0.543315,0.741239,-0.124443,1.024959,-0.444200,0.792768,-0.025328,1.032282,-0.403354,0.779738,0.095878,0.783902,-0.134497,0.696628,0.364736,0.946876,-0.079250,0.649749,0.419983,0.943762
429,-0.383212,0.785983,-0.554656,0.757131,-0.223752,1.043823,-0.452437,0.777779,-0.121534,1.075770,-0.380205,0.755653,0.058410,0.796522,-0.241232,0.709791,0.197382,1.016357,-0.085932,0.691570,0.352683,1.025301
430,-0.346834,0.774379,-0.367694,0.816368,-0.007119,1.080394,-0.313502,0.766395,0.047073,1.060042,-0.304208,0.750674,0.028035,0.862523,-0.426383,0.707853,-0.094139,0.996280,-0.365716,0.683114,-0.033473,1.017045
431,0.656930,1.034416,1.113204,0.800996,0.601989,1.323598,1.021644,0.818492,0.510430,1.381207,0.753393,0.930025,-0.057863,0.900687,0.841958,0.799298,0.030701,1.182683,0.846793,0.770707,0.035537,1.222625
432,-0.025334,0.956806,-0.501857,0.987686,-0.653448,1.261940,-0.406467,0.912817,-0.558059,1.219828,-0.199043,0.926633,0.013738,0.911392,-0.064619,0.820060,0.148163,1.207864,-0.098159,0.767009,0.114622,1.212332
433,0.267095,0.828176,0.636479,0.775997,0.516529,1.116016,0.516713,0.814705,0.396763,1.138854,0.314432,0.837723,-0.108574,0.781057,0.281506,0.688694,-0.141500,1.001630,0.178725,0.677143,-0.244281,1.032777
434,-0.119927,0.850650,0.059664,0.797258,0.277159,1.123904,0.007952,0.826939,0.225447,1.179515,-0.051946,0.808177,-0.035397,0.892158,-0.040538,0.730663,-0.023989,1.036283,-0.127508,0.708589,-0.110959,1.060764
435,0.080860,0.802070,-0.045703,0.757693,-0.205073,1.030293,0.065113,0.787764,-0.094257,1.056273,0.059165,0.773397,0.061473,0.825406,0.098245,0.669931,0.100554,0.982211,0.081437,0.634643,0.083746,0.983701
436,0.022288,0.847288,-0.151513,0.651409,-0.238461,1.060798,-0.129775,0.697157,-0.216724,1.087125,-0.046552,0.769278,-0.000331,0.821881,-0.313947,0.700893,-0.267727,1.015366,-0.237247,0.716790,-0.191026,1.056453
437,0.312159,0.807356,0.485194,0.767501,0.195295,1.107256,0.539363,0.773853,0.249464,1.106008,0.367890,0.793589,0.032127,0.830752,0.335972,0.668730,0.000209,0.989075,0.325632,0.620652,-0.010131,0.974115
438,-0.391564,0.863483,-0.110677,0.843249,0.396265,1.198246,-0.169163,0.814962,0.337779,1.157585,-0.290874,0.819387,-0.021538,0.847694,-0.415575,0.758929,-0.146240,1.094224,-0.379935,0.716839,-0.110599,1.091488
439,-0.060684,0.852101,0.044905,0.764612,0.112715,1.087961,0.048865,0.718617,0.116674,1.087017,-0.030857,0.771774,0.022283,0.856063,0.049832,0.722875,0.102972,1.022634,0.106331,0.711723,0.159470,1.055688
440,0.715258,1.021249,0.808831,0.872293,0.178530,1.268237,0.695869,0.902409,0.065568,1.264861,0.738611,0.965180,-0.066650,0.925819,0.492648,0.918902,-0.312613,1.209479,0.503013,0.898883,-0.302248,1.255271
441,-0.268062,0.893478,-0.042447,0.826195,0.343662,1.132414,-0.062328,0.809443,0.323781,1.145636,-0.172448,0.835029,-0.029445,0.828884,-0.326922,0.741117,-0.183919,1.072202,-0.368538,0.669903,-0.225536,1.075938
442,0.209378,0.725503,0.250665,0.731358,0.027407,1.009088,0.214604,0.735563,-0.008655,1.004844,0.116148,0.734155,-0.078514,0.825552,0.147442,0.774931,-0.047220,1.014485,0.160489,0.757808,-0.034173,1.026291
443,0.055901,0.792706,0.055749,0.764012,-0.010307,1.064594,0.178739,0.793738,0.112683,1.065590,0.122709,0.796647,0.077566,0.851806,0.224974,0.823913,0.179830,1.100406,0.300520,0.812210,0.255376,1.097484
444,0.112922,0.909010,0.230759,0.804012,0.110646,1.185937,0.232562,0.775148,0.112450,1.174833,0.120312,0.846844,0.015002,0.849620,0.534136,0.810709,0.428826,1.086814,0.501905,0.734291,0.396594,1.084380
445,0.336851,0.776438,0.232595,0.711410,-0.132670,0.997147,0.317929,0.719474,-0.047336,1.036300,0.390361,0.761159,0.083583,0.803878,0.405379,0.684329,0.098601,0.968112,0.413132,0.646258,0.106354,0.979776
446,0.002769,0.819954,-0.306384,0.732749,-0.392706,1.077501,-0.261343,0.768444,-0.347664,1.099489,-0.098141,0.814568,-0.012387,0.817326,-0.024024,0.773681,0.061729,1.047913,-0.035564,0.731048,0.050190,1.064811
447,0.061523,0.904787,0.447012,0.722092,0.524971,1.202589,0.372829,0.824445,0.450788,1.266631,0.155241,0.920850,-0.054045,0.809713,-0.027862,0.835447,-0.237147,1.107728,-0.000641,0.748096,-0.209926,1.109402
448,-0.379654,0.879536,-0.341644,0.956611,0.103128,1.164231,-0.327810,0.914153,0.116962,1.125408,-0.326722,0.879674,-0.016069,0.915746,-0.627869,0.865325,-0.317216,1.145507,-0.595452,0.857945,-0.284799,1.183761
449,-0.084112,0.782265,-0.414161,0.747887,-0.437315,1.047391,-0.332717,0.749259,-0.355871,1.035532,-0.174815,0.789762,0.022943,0.825255,-0.122981,0.716662,0.074777,1.007482,-0.096180,0.720449,0.101577,1.041376
450,0.113925,0.843346,-0.197154,0.776458,-0.412011,1.097340,-0.178877,0.797530,-0.393734,1.128202,0.000753,0.822174,-0.006241,0.833558,0.066225,0.746243,0.059232,1.049426,0.164087,0.675195,0.157093,1.048413
451,-0.165478,0.720555,-0.054099,0.768590,0.130317,1.059628,-0.123004,0.754274,0.061412,1.050845,-0.192887,0.741943,-0.047463,0.803309,-0.271194,0.726662,-0.125771,0.993932,-0.282068,0.706228,-0.136644,0.999471
452,-0.041191,0.829216,-0.320998,0.712761,-0.356086,1.114413,-0.273352,0.760384,-0.308440,1.151014,-0.063217,0.850530,0.058800,0.862132,-0.096253,0.827928,0.025765,1.082161,-0.046021,0.811917,0.075996,1.121271
453,0.249085,0.821354,0.111553,0.847638,-0.132221,1.152766,0.092744,0.818093,-0.151031,1.132326,0.219856,0.796859,-0.034870,0.869399,0.141605,0.710498,-0.113122,1.039845,0.087571,0.691551,-0.167155,1.031579
454,0.344105,0.781175,0.353661,0.691577,0.031302,1.013435,0.393883,0.688611,0.071524,1.034202,0.402778,0.699873,0.035640,0.756665,0.308229,0.686581,-0.058909,0.941170,0.333829,0.678755,-0.033309,0.952731
455,-0.818512,0.886826,-1.017432,0.827200,-0.245506,1.191293,-0.908569,0.843577,-0.136643,1.214211,-0.816765,0.859002,0.051122,0.839587,-0.777558,0.704393,0.090329,1.043490,-0.678751,0.671951,0.189136,1.063640
456,-0.400059,0.924570,0.027354,0.835847,0.554460,1.259914,-0.166486,0.819675,0.360621,1.261047,-0.369424,0.854094,-0.103992,0.847986,-0.320518,0.783455,-0.055086,1.120126,-0.353227,0.746135,-0.087795,1.130880
457,0.363227,0.830934,0.457669,0.852328,0.156325,1.163586,0.409690,0.816957,0.108347,1.145663,0.391567,0.815028,-0.037204,0.847890,0.377102,0.772634,-0.051669,1.066229,0.391596,0.760833,-0.037175,1.101180
458,0.838477,0.790408,0.902443,0.904435,0.130439,1.047298,0.929018,0.837059,0.157014,1.013305,0.928397,0.783650,0.019529,0.828589,1.023379,0.751873,0.114511,1.050384,1.184793,0.808086,0.275925,1.119381
459,0.309017,0.801085,0.247659,0.815647,-0.071191,1.081518,0.265098,0.829077,-0.053752,1.090138,0.325315,0.793728,0.026715,0.846308,0.344783,0.718925,0.046183,1.030479,0.376062,0.703516,0.077462,1.033302
460,0.565030,0.774184,0.731929,0.684253,0.257207,1.001620,0.672961,0.727401,0.198240,1.035742,0.621197,0.734615,-0.039497,0.806132,0.558392,0.681395,-0.102302,0.968362,0.573213,0.709558,-0.087481,1.008758
461,-0.053126,0.801475,-0.052453,0.846753,0.058874,1.104042,-0.111192,0.805986,0.000135,1.085864,-0.059538,0.778785,-0.068071,0.886383,-0.135926,0.716032,-0.144459,1.030981,-0.216910,0.673993,-0.225443,1.037859
462,0.351910,0.905080,0.502637,0.942664,0.258657,1.147536,0.364577,0.920831,0.120596,1.166297,0.325548,0.896307,-0.140736,0.886089,0.199369,0.782704,-0.266914,1.095658,0.137818,0.761740,-0.328466,1.127182
463,0.280889,0.708664,0.368071,0.635885,0.105071,0.926455,0.406693,0.705738,0.143693,0.979164,0.352228,0.695100,0.052391,0.746721,0.456219,0.677334,0.156382,0.927199,0.499504,0.677025,0.199667,0.929589
464,-0.093858,0.841987,0.016698,0.744217,0.150652,1.147282,-0.076189,0.757257,0.057765,1.150238,-0.100889,0.760427,-0.049509,0.878469,-0.130607,0.710782,-0.079228,1.028003,-0.219366,0.717843,-0.167986,1.066703
465,-0.795968,0.688119,-0.729087,0.734511,0.103239,0.931845,-0.779669,0.724108,0.052657,0.944899,-0.791611,0.693328,-0.034055,0.785919,-0.888902,0.667205,-0.131346,0.912001,-0.849509,0.612207,-0.091953,0.892618
466,-0.230603,0.809725,-0.299161,0.753460,-0.064214,1.074738,-0.239175,0.777138,-0.004227,1.080820,-0.187711,0.783188,0.038300,0.851340,-0.369938,0.766322,-0.143927,1.042573,-0.276061,0.771243,-0.050049,1.061090
467,-0.353335,0.763435,-0.386457,0.761555,-0.015070,1.022771,-0.376869,0.739137,-0.005482,1.038982,-0.359322,0.721573,-0.025085,0.808721,-0.268617,0.746353,0.065620,0.994452,-0.220249,0.741971,0.113988,1.013776
468,-0.899604,0.838117,-1.028521,0.768203,-0.146772,1.167278,-1.044081,0.786141,-0.162332,1.182898,-0.915092,0.807878,0.003296,0.906406,-0.740042,0.807536,0.178346,1.084049,-0.710570,0.763208,0.207818,1.081656
469,0.835592,1.277228,0.373010,1.438763,-0.679464,1.849146,0.447635,1.377519,-0.604840,1.786923,0.674752,1.310869,0.068943,1.065315,1.129043,1.041484,0.523234,1.529335,1.274550,0.954995,0.668741,1.588390
470,-0.113065,1.143420,-0.732824,0.917722,-0.831269,1.558956,-0.628948,0.978756,-0.727393,1.591152,-0.307926,1.107829,0.029215,0.929216,-0.234988,0.903021,0.102154,1.272098,-0.171764,0.830881,0.165378,1.311687
471,0.621004,0.969688,1.037199,0.790711,0.568962,1.296883,1.003826,0.939951,0.535589,1.373984,0.787616,0.982857,0.004799,0.917097,0.513116,0.842881,-0.269701,1.179872,0.454213,0.780597,-0.328604,1.186582
472,0.145348,0.735427,-0.005641,0.666118,-0.180650,0.942037,0.061619,0.689289,-0.113390,0.963284,0.162477,0.709262,0.048547,0.790802,0.155027,0.685942,0.041098,0.942590,0.093147,0.633136,-0.020782,0.935934
473,0.004430,0.898559,-0.076462,0.899680,-0.094279,1.314468,-0.132585,0.843920,-0.150402,1.251327,-0.049112,0.856767,-0.039357,0.922462,-0.131209,0.852190,-0.121454,1.161119,-0.117720,0.849538,-0.107965,1.200072
474,0.269910,0.971078,0.592481,0.845699,0.410205,1.282642,0.606914,0.823033,0.424638,1.301312,0.409155,0.926391,0.046403,0.928660,0.350327,0.771148,-0.012426,1.143849,0.250943,0.747223,-0.111809,1.179030
475,-0.415437,0.926105,-0.477651,1.013798,-0.151440,1.256853,-0.462781,0.984375,-0.136570,1.257258,-0.498011,0.908360,0.011933,0.870655,-0.095608,0.802635,0.414336,1.124462,-0.053044,0.730682,0.456901,1.128655
476,0.007536,0.839809,0.292289,0.791089,0.378671,1.156823,0.186581,0.794950,0.272963,1.157191,0.034872,0.809744,-0.072170,0.849285,-0.166183,0.720812,-0.273225,0.994529,-0.249826,0.676685,-0.356868,1.016894
477,0.137157,0.903670,0.385552,0.790570,0.323041,1.182349,0.231040,0.798775,0.168529,1.194315,0.098470,0.829109,-0.117801,0.875228,0.079133,0.776812,-0.137138,1.098482,-0.071777,0.741405,-0.288048,1.100435
