dimension,dsp_type,r2_linear
738,tempo,0.008126
739,tempo,0.036111
740,tempo,0.011284
741,tempo,0.013252
742,tempo,0.012917
743,tempo,0.019785
744,tempo,0.009754
745,tempo,0.014602
746,tempo,0.005567
747,tempo,0.011624
748,tempo,0.009679
749,tempo,0.005170
750,tempo,0.014433
751,tempo,0.012257
752,tempo,0.016269
753,tempo,0.017601
754,tempo,0.021704
755,tempo,0.010582
756,tempo,0.009816
757,tempo,0.007434
758,tempo,0.018841
759,tempo,0.007487
760,tempo,0.010489
761,tempo,0.017415
762,tempo,0.010865
763,tempo,0.009079
764,tempo,0.011940
765,tempo,0.012523
766,tempo,0.014533
767,tempo,0.016753
768,tempo,0.008768
769,tempo,0.009918
770,tempo,0.025282
771,tempo,0.024032
772,tempo,0.013428
773,tempo,0.021632
774,tempo,0.012774
775,tempo,0.006947
776,tempo,0.022686
777,tempo,0.021894
778,tempo,0.013776
779,tempo,0.013579
780,tempo,0.006673
781,tempo,0.006537
782,tempo,0.025342
783,tempo,0.016486
784,tempo,0.021534
785,tempo,0.007838
786,tempo,0.008463
787,tempo,0.013197
788,tempo,0.017327
789,tempo,0.017787
790,tempo,0.024996
791,tempo,0.028308
792,tempo,0.012209
793,tempo,0.009160
794,tempo,0.007784
795,tempo,0.007577
796,tempo,0.012535
797,tempo,0.014054
798,tempo,0.016406
799,tempo,0.021478
800,tempo,0.026761
801,tempo,0.019688
802,tempo,0.010628
803,tempo,0.019067
804,tempo,0.011845
805,tempo,0.013650
806,tempo,0.017720
807,tempo,0.011505
808,tempo,0.012956
809,tempo,0.025409
810,tempo,0.027937
811,tempo,0.007583
812,tempo,0.015629
813,tempo,0.008575
814,tempo,0.010660
815,tempo,0.017137
816,tempo,0.009605
817,tempo,0.018645
818,tempo,0.013714
819,tempo,0.011036
820,tempo,0.009272
821,tempo,0.019604
822,tempo,0.009453
823,tempo,0.016658
824,tempo,0.013826
825,tempo,0.022165
826,tempo,0.027893
827,tempo,0.013697
828,tempo,0.012242
829,tempo,0.013971
830,tempo,0.016732
831,tempo,0.018136
832,tempo,0.017075
833,tempo,0.008078
834,tempo,0.032813
835,tempo,0.011283
836,tempo,0.019487
837,tempo,0.030356
838,tempo,0.013412
839,tempo,0.017657
840,tempo,0.015632
841,tempo,0.009830
842,tempo,0.020143
843,tempo,0.017367
844,tempo,0.021910
845,tempo,0.013897
846,tempo,0.017665
847,tempo,0.005912
848,tempo,0.016999
849,tempo,0.018851
850,tempo,0.018126
851,tempo,0.026399
852,tempo,0.014732
853,tempo,0.045051
854,tempo,0.024504
855,tempo,0.014903
856,tempo,0.022610
857,tempo,0.016153
858,tempo,0.022073
859,tempo,0.021839
860,tempo,0.006474
861,tempo,0.006797
862,tempo,0.013463
863,tempo,0.016742
864,tempo,0.020775
865,tempo,0.016736
866,tempo,0.035392
867,tempo,0.005210
868,tempo,0.007780
869,tempo,0.022683
870,tempo,0.016161
871,tempo,0.006698
872,tempo,0.012746
873,tempo,0.012400
874,tempo,0.023396
875,tempo,0.022474
876,tempo,0.007754
877,tempo,0.008170
878,tempo,0.010822
879,tempo,0.006398
880,tempo,0.011384
881,tempo,0.006418
882,tempo,0.009818
883,tempo,0.019843
884,tempo,0.014692
885,tempo,0.013300
886,tempo,0.010808
887,tempo,0.007839
888,tempo,0.012242
889,tempo,0.010793
890,tempo,0.002069
891,tempo,0.013006
892,tempo,0.020138
893,tempo,0.013386
