dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
383,0.980381,0.708702,0.900672,0.689128,-0.079709,0.079709,-0.114035,201
181,1.009591,0.723008,0.929999,0.706559,-0.079592,0.079592,-0.111343,202
358,0.875882,0.648216,0.796529,0.616024,-0.079353,0.079353,-0.125493,203
329,0.896590,0.665533,0.817804,0.608046,-0.078786,0.078786,-0.123599,204
310,0.890730,0.696014,0.812155,0.674737,-0.078575,0.078575,-0.114632,205
298,0.812699,0.642705,0.890949,0.693192,0.078250,0.078250,0.117067,206
129,0.916932,0.666143,0.838990,0.646954,-0.077941,0.077941,-0.118701,207
97,0.845383,0.631348,0.767448,0.593791,-0.077935,0.077935,-0.127167,208
412,0.862838,0.692309,0.784933,0.617563,-0.077906,0.077906,-0.118758,209
507,0.924134,0.673264,0.846760,0.662759,-0.077374,0.077374,-0.115824,210
142,0.886143,0.655201,0.809369,0.634615,-0.076774,0.076774,-0.119032,211
364,0.955053,0.712381,0.878723,0.686395,-0.076330,0.076330,-0.109120,212
316,0.939779,0.688058,0.863520,0.674427,-0.076259,0.076259,-0.111936,213
430,0.864446,0.648102,0.788643,0.616019,-0.075803,0.075803,-0.119892,214
157,0.880786,0.686358,0.805898,0.643746,-0.074887,0.074887,-0.112546,215
19,0.949940,0.731959,0.875243,0.695619,-0.074697,0.074697,-0.104615,216
9,0.867080,0.650663,0.792389,0.619960,-0.074691,0.074691,-0.117532,217
257,0.836299,0.645447,0.761783,0.610231,-0.074516,0.074516,-0.118640,218
215,0.875253,0.670370,0.800864,0.621954,-0.074389,0.074389,-0.115043,219
133,0.940048,0.709028,0.866113,0.683599,-0.073936,0.073936,-0.106164,220
509,0.912909,0.709813,0.839002,0.647805,-0.073907,0.073907,-0.108764,221
203,0.840860,0.648629,0.767146,0.588409,-0.073715,0.073715,-0.119038,222
131,0.845307,0.658472,0.918504,0.696096,0.073197,0.073197,0.108033,223
427,0.933523,0.751952,0.860366,0.680783,-0.073157,0.073157,-0.101996,224
260,0.821890,0.674047,0.748876,0.600314,-0.073013,0.073013,-0.114397,225
370,0.837548,0.630100,0.765036,0.603901,-0.072511,0.072511,-0.117496,226
417,0.910874,0.739502,0.982676,0.757029,0.071802,0.071802,0.095952,227
487,0.877219,0.701500,0.948119,0.731128,0.070900,0.070900,0.098958,228
114,0.842423,0.669791,0.913254,0.700327,0.070830,0.070830,0.103367,229
119,0.856759,0.665437,0.785951,0.601668,-0.070808,0.070808,-0.111622,230
99,1.004293,0.789999,0.933533,0.738836,-0.070761,0.070761,-0.092516,231
136,0.833787,0.654317,0.763321,0.601361,-0.070467,0.070467,-0.112137,232
172,0.831020,0.612634,0.760868,0.593452,-0.070152,0.070152,-0.116315,233
64,0.942432,0.700977,0.872296,0.677912,-0.070136,0.070136,-0.101714,234
37,0.974527,0.723076,0.904609,0.691259,-0.069918,0.069918,-0.098846,235
15,0.864950,0.673901,0.795152,0.605067,-0.069798,0.069798,-0.108990,236
297,0.805975,0.640694,0.875700,0.671953,0.069725,0.069725,0.106206,237
483,1.022641,0.817753,1.092354,0.846014,0.069713,0.069713,0.083789,238
87,0.800883,0.626959,0.731196,0.577915,-0.069687,0.069687,-0.115580,239
188,0.709062,0.549646,0.778684,0.606172,0.069622,0.069622,0.120328,240
396,0.963502,0.717088,0.894488,0.698163,-0.069014,0.069014,-0.097520,241
165,0.795755,0.609117,0.726866,0.575900,-0.068888,0.068888,-0.116220,242
141,0.818447,0.638550,0.750118,0.583415,-0.068330,0.068330,-0.111722,243
494,0.890194,0.716991,0.821959,0.622100,-0.068234,0.068234,-0.101657,244
70,0.871508,0.673828,0.803602,0.636087,-0.067907,0.067907,-0.103638,245
308,0.895579,0.665885,0.827968,0.632457,-0.067611,0.067611,-0.104115,246
486,0.956933,0.745894,0.889895,0.694333,-0.067038,0.067038,-0.093034,247
385,0.742143,0.602233,0.808934,0.625292,0.066791,0.066791,0.108803,248
351,0.790490,0.612446,0.724035,0.567538,-0.066455,0.066455,-0.112556,249
192,0.976577,0.764794,1.042580,0.799008,0.066003,0.066003,0.084394,250
4,0.900496,0.685873,0.834526,0.650117,-0.065970,0.065970,-0.098723,251
66,0.930721,0.733226,0.864844,0.647468,-0.065877,0.065877,-0.095242,252
