final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_none_pitchU4_tempo110,random,0.8631,26.5724,479.9582,0.863
Negative_none_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_tempo090,intra_category_nearest,0.8037,25.7508,465.3547,0.8035
Negative_none_tempo090,random,0.8396,26.2161,473.7845,0.8395
Negative_none_tempo095,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_tempo095,intra_category_nearest,0.7892,25.4086,459.0793,0.7891
Negative_none_tempo095,random,0.846,26.2154,473.5665,0.8459
Negative_none_tempo105,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_tempo105,intra_category_nearest,0.7881,25.4694,460.4355,0.7879
Negative_none_tempo105,random,0.8448,26.3382,475.7475,0.8447
Negative_none_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_tempo110,intra_category_nearest,0.8017,25.6888,464.3176,0.8016
Negative_none_tempo110,random,0.8411,26.0941,471.6979,0.841
Negative_smp_pitchD2,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_pitchD2,intra_category_nearest,0.8406,26.1194,471.4262,0.8405
Negative_smp_pitchD2,random,0.8574,26.7695,483.1281,0.8573
Negative_smp_pitchD4,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_pitchD4,intra_category_nearest,0.841,26.032,470.2346,0.8408
Negative_smp_pitchD4,random,0.8457,26.3354,476.2349,0.8456
Negative_smp_pitchD4_tempo090,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_pitchD4_tempo090,intra_category_nearest,0.8591,26.4093,476.9362,0.8589
Negative_smp_pitchD4_tempo090,random,0.8569,26.4933,479.2241,0.8566
Negative_smp_pitchU2,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_pitchU2,intra_category_nearest,0.8426,26.2276,473.5316,0.8424
Negative_smp_pitchU2,random,0.8502,26.5556,479.4897,0.8501
Negative_smp_pitchU4,global_nearest,0.8397,25.9222,468.6614,0.8396
