final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_mgeldm_other_tempo110,random,0.9314,63.544,1610.181,0.9313
Negative_mgeldm_vocals,global_nearest,0.3917,40.795,1024.5653,0.3917
Negative_musicgen_none,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_none,intra_category_nearest,0.6464,52.2149,1325.4889,0.6463
Negative_musicgen_none,random,0.9612,63.2878,1602.3513,0.9611
Negative_musicgen_pitchD2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchD2,intra_category_nearest,0.6455,52.1047,1319.9578,0.6455
Negative_musicgen_pitchD2,random,0.9658,63.1747,1599.5053,0.9658
Negative_musicgen_pitchD4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchD4,intra_category_nearest,0.6429,51.9964,1318.2533,0.6429
Negative_musicgen_pitchD4,random,0.9639,63.357,1604.1791,0.9638
Negative_musicgen_pitchD4_tempo090,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchD4_tempo090,intra_category_nearest,0.6499,52.2972,1325.6515,0.6499
Negative_musicgen_pitchD4_tempo090,random,0.9648,63.2085,1599.8732,0.9647
Negative_musicgen_pitchU2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchU2,intra_category_nearest,0.6406,52.1148,1321.371,0.6406
Negative_musicgen_pitchU2,random,0.9649,63.4397,1606.0297,0.9649
Negative_musicgen_pitchU4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchU4,intra_category_nearest,0.643,52.2222,1324.7754,0.643
Negative_musicgen_pitchU4,random,0.9575,63.0783,1597.5545,0.9575
Negative_musicgen_pitchU4_tempo110,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_pitchU4_tempo110,intra_category_nearest,0.6472,52.294,1326.6836,0.6472
Negative_musicgen_pitchU4_tempo110,random,0.9614,63.3817,1604.7774,0.9613
Negative_musicgen_tempo090,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_tempo090,intra_category_nearest,0.656,52.519,1331.6397,0.656
Negative_musicgen_tempo090,random,0.9589,62.9615,1595.86,0.9588
Negative_musicgen_tempo095,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_tempo095,intra_category_nearest,0.6559,52.3692,1327.4823,0.6559
Negative_musicgen_tempo095,random,0.9552,62.9462,1594.0612,0.9551
Negative_musicgen_tempo105,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_tempo105,intra_category_nearest,0.6466,52.2424,1325.2979,0.6465
Negative_musicgen_tempo105,random,0.954,62.9538,1593.9971,0.9539
Negative_musicgen_tempo110,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_musicgen_tempo110,intra_category_nearest,0.6467,52.3081,1326.8828,0.6466
Negative_musicgen_tempo110,random,0.9541,63.1505,1600.6548,0.9541
Negative_none_pitchD2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchD2,intra_category_nearest,0.5688,49.593,1256.7357,0.5687
Negative_none_pitchD2,random,0.9112,62.887,1589.4762,0.9111
Negative_none_pitchD4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchD4,intra_category_nearest,0.5685,49.5486,1256.2743,0.5684
Negative_none_pitchD4,random,0.911,62.8217,1588.0163,0.9109
Negative_none_pitchD4_tempo090,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchD4_tempo090,intra_category_nearest,0.5825,50.134,1270.9481,0.5823
Negative_none_pitchD4_tempo090,random,0.914,63.0522,1594.2234,0.914
Negative_none_pitchU2,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchU2,intra_category_nearest,0.5688,49.6513,1258.6636,0.5687
Negative_none_pitchU2,random,0.9054,62.9119,1590.3751,0.9053
Negative_none_pitchU4,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchU4,intra_category_nearest,0.5639,49.272,1248.7977,0.5638
Negative_none_pitchU4,random,0.9029,62.5801,1582.3804,0.9028
Negative_none_pitchU4_tempo110,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_pitchU4_tempo110,intra_category_nearest,0.5647,49.3415,1249.8638,0.5646
Negative_none_pitchU4_tempo110,random,0.9059,62.5201,1580.3677,0.9057
Negative_none_tempo090,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_tempo090,intra_category_nearest,0.5823,50.2316,1273.0142,0.5822
Negative_none_tempo090,random,0.9055,62.7308,1586.5082,0.9054
Negative_none_tempo095,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_tempo095,intra_category_nearest,0.5795,50.1614,1270.8022,0.5794
Negative_none_tempo095,random,0.9052,62.9278,1590.3301,0.9051
Negative_none_tempo105,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_tempo105,intra_category_nearest,0.5684,49.5993,1256.2984,0.5684
Negative_none_tempo105,random,0.9032,62.4563,1579.1616,0.9031
Negative_none_tempo110,global_nearest,0.4907,46.073,1167.9485,0.4907
Negative_none_tempo110,intra_category_nearest,0.5687,49.5862,1256.4265,0.5686
Negative_none_tempo110,random,0.9052,62.6124,1582.9539,0.9051
Negative_smp_pitchD2,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchD2,intra_category_nearest,0.5878,50.6254,1281.4134,0.5877
Negative_smp_pitchD2,random,0.9025,62.6201,1582.9487,0.9024
Negative_smp_pitchD4,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchD4,intra_category_nearest,0.5897,50.7549,1286.2608,0.5896
Negative_smp_pitchD4,random,0.9021,62.7035,1584.3376,0.9021
Negative_smp_pitchD4_tempo090,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchD4_tempo090,intra_category_nearest,0.6049,51.3493,1300.4829,0.6048
Negative_smp_pitchD4_tempo090,random,0.9065,62.5916,1580.9564,0.9065
Negative_smp_pitchU2,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchU2,intra_category_nearest,0.5893,50.8312,1287.8804,0.5892
Negative_smp_pitchU2,random,0.8986,62.6213,1581.9071,0.8985
Negative_smp_pitchU4,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchU4,intra_category_nearest,0.587,50.6098,1281.7946,0.5869
Negative_smp_pitchU4,random,0.8942,62.4215,1578.8901,0.8941
Negative_smp_pitchU4_tempo110,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_pitchU4_tempo110,intra_category_nearest,0.5886,50.4613,1278.0983,0.5884
Negative_smp_pitchU4_tempo110,random,0.897,62.3518,1578.6393,0.8969
Negative_smp_tempo090,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_tempo090,intra_category_nearest,0.6004,51.1041,1294.377,0.6002
Negative_smp_tempo090,random,0.899,62.5323,1579.6279,0.899
Negative_smp_tempo095,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_tempo095,intra_category_nearest,0.5976,51.0601,1292.3676,0.5975
Negative_smp_tempo095,random,0.9019,62.7316,1585.4538,0.9019
Negative_smp_tempo105,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_tempo105,intra_category_nearest,0.5899,50.675,1282.1723,0.5897
Negative_smp_tempo105,random,0.8988,62.5741,1581.8282,0.8987
Negative_smp_tempo110,global_nearest,0.4889,46.0822,1167.271,0.4889
Negative_smp_tempo110,intra_category_nearest,0.5893,50.6051,1281.6671,0.5892
Negative_smp_tempo110,random,0.8951,62.5071,1580.6605,0.8951
SMP_plag,N/A,0.555,47.6414,1206.3498,0.555
SMP_plag_doubt,N/A,0.6071,49.6083,1255.6527,0.6071
SMP_remake,N/A,0.3678,36.8478,932.3528,0.3678
audioldm2_none,N/A,0.9276,62.7894,1591.1829,0.9276
audioldm2_pitchD2,N/A,0.9348,62.9269,1595.0488,0.9348
audioldm2_pitchD4,N/A,0.9344,62.6136,1586.7019,0.9344
audioldm2_pitchD4_tempo090,N/A,0.9395,62.6474,1588.0971,0.9395
audioldm2_pitchU2,N/A,0.9236,62.3907,1581.1171,0.9236
audioldm2_pitchU4,N/A,0.9233,62.648,1588.0829,0.9233
audioldm2_pitchU4_tempo110,N/A,0.9226,62.6079,1587.7284,0.9226
audioldm2_tempo090,N/A,0.9325,62.9061,1594.6977,0.9325
audioldm2_tempo095,N/A,0.9318,63.0263,1597.8885,0.9318
audioldm2_tempo105,N/A,0.9315,62.9681,1596.3068,0.9315
audioldm2_tempo110,N/A,0.9298,62.8774,1594.3169,0.9298
mgeldm_bass_none,N/A,0.4587,42.7423,1083.7403,0.4587
mgeldm_bass_pitchD2,N/A,0.5216,45.6506,1158.4203,0.5216
mgeldm_bass_pitchD4,N/A,0.5343,46.2053,1172.4248,0.5343
mgeldm_bass_pitchD4_tempo090,N/A,0.5675,47.7129,1211.2575,0.5675
mgeldm_bass_pitchU2,N/A,0.514,45.4078,1152.0778,0.5139
mgeldm_bass_pitchU4,N/A,0.5216,45.7877,1162.4564,0.5215
mgeldm_bass_pitchU4_tempo110,N/A,0.5657,47.9023,1215.2152,0.5656
mgeldm_bass_tempo090,N/A,0.4954,44.516,1129.8623,0.4953
mgeldm_bass_tempo095,N/A,0.4844,43.9403,1114.7594,0.4844
mgeldm_bass_tempo105,N/A,0.4919,44.281,1123.512,0.4918
mgeldm_bass_tempo110,N/A,0.4988,44.726,1134.2398,0.4987
mgeldm_drums_none,N/A,0.6696,52.2378,1326.6299,0.6696
mgeldm_drums_pitchD2,N/A,0.6975,53.1974,1350.7008,0.6974
mgeldm_drums_pitchD4,N/A,0.71,53.6661,1362.1233,0.7099
mgeldm_drums_pitchD4_tempo090,N/A,0.7467,54.8481,1391.2575,0.7466
mgeldm_drums_pitchU2,N/A,0.692,53.0692,1348.1772,0.6919
mgeldm_drums_pitchU4,N/A,0.697,53.3329,1353.929,0.697
mgeldm_drums_pitchU4_tempo110,N/A,0.7309,54.6632,1386.7357,0.7309
mgeldm_drums_tempo090,N/A,0.708,53.6781,1363.1757,0.7079
mgeldm_drums_tempo095,N/A,0.6977,53.32,1354.1995,0.6976
mgeldm_drums_tempo105,N/A,0.7,53.5111,1358.488,0.7
mgeldm_drums_tempo110,N/A,0.7054,53.7765,1364.7742,0.7054
mgeldm_none,N/A,0.773,57.7886,1461.2522,0.773
mgeldm_other_none,N/A,0.4269,41.1754,1042.1226,0.4269
mgeldm_other_pitchD2,N/A,0.4905,44.485,1126.3871,0.4904
mgeldm_other_pitchD4,N/A,0.5007,45.0136,1139.2854,0.5006
mgeldm_other_pitchD4_tempo090,N/A,0.5376,46.7193,1182.4596,0.5376
mgeldm_other_pitchU2,N/A,0.4838,44.2527,1120.7318,0.4838
mgeldm_other_pitchU4,N/A,0.4888,44.5337,1128.3261,0.4887
mgeldm_other_pitchU4_tempo110,N/A,0.5315,46.6063,1179.9296,0.5314
mgeldm_other_tempo090,N/A,0.4624,43.1891,1093.4096,0.4624
mgeldm_other_tempo095,N/A,0.4531,42.6919,1080.3496,0.453
mgeldm_other_tempo105,N/A,0.457,43.0317,1088.9985,0.4569
mgeldm_other_tempo110,N/A,0.4624,43.3216,1096.0461,0.4624
mgeldm_vocals,N/A,0.5123,45.7165,1163.0751,0.5122
musicgen_none,N/A,0.7894,56.8583,1441.6431,0.7894
musicgen_pitchD2,N/A,0.8198,57.837,1466.5398,0.8198
musicgen_pitchD4,N/A,0.8275,58.0931,1473.5759,0.8276
musicgen_pitchD4_tempo090,N/A,0.8294,58.0624,1473.0725,0.8294
musicgen_pitchU2,N/A,0.8151,57.837,1466.1058,0.8151
musicgen_pitchU4,N/A,0.8286,58.3438,1480.2374,0.8285
musicgen_pitchU4_tempo110,N/A,0.8364,58.7535,1490.2816,0.8364
musicgen_tempo090,N/A,0.793,56.8693,1442.0842,0.793
musicgen_tempo095,N/A,0.7934,56.8739,1441.973,0.7934
musicgen_tempo105,N/A,0.7953,57.0986,1447.482,0.7953
musicgen_tempo110,N/A,0.7934,57.1081,1447.8571,0.7934
none_pitchD2,N/A,0.1164,19.6699,500.359,0.1164
none_pitchD4,N/A,0.1247,19.6435,499.7873,0.1246
none_pitchD4_tempo090,N/A,0.1728,24.4068,620.2851,0.1728
none_pitchU2,N/A,0.1117,19.2988,490.9757,0.1117
none_pitchU4,N/A,0.119,19.395,493.4294,0.1189
none_pitchU4_tempo110,N/A,0.1676,24.3347,618.4315,0.1675
none_tempo090,N/A,0.0585,14.8749,377.1458,0.0585
none_tempo095,N/A,0.0381,12.0357,305.2115,0.0381
none_tempo105,N/A,0.0419,12.713,322.4857,0.0419
none_tempo110,N/A,0.0566,14.909,378.2284,0.0566
smp_pitchD2,N/A,0.5218,45.2352,1145.1867,0.5218
smp_pitchD4,N/A,0.5313,45.6287,1155.3643,0.5313
smp_pitchD4_tempo090,N/A,0.5539,46.6074,1180.0718,0.5538
smp_pitchU2,N/A,0.5099,44.7581,1133.5465,0.5098
smp_pitchU4,N/A,0.5294,45.6354,1157.2954,0.5294
smp_pitchU4_tempo110,N/A,0.5446,46.557,1180.4694,0.5446
smp_tempo090,N/A,0.5096,44.5898,1129.0779,0.5096
smp_tempo095,N/A,0.5019,44.2328,1119.6649,0.5019
smp_tempo105,N/A,0.5017,44.3757,1123.404,0.5017
smp_tempo110,N/A,0.5067,44.6827,1131.2581,0.5067
