clews_metric,wealy_metric,alpha,beta,internal_val_f1_score
manhattan_distance,pearson_distance,0.3,0.7,0.7584
manhattan_distance,pearson_distance,0.35,0.65,0.7585
manhattan_distance,pearson_distance,0.4,0.6,0.759
manhattan_distance,pearson_distance,0.45,0.55,0.7596
manhattan_distance,pearson_distance,0.5,0.5,0.7585
manhattan_distance,pearson_distance,0.55,0.45,0.7596
manhattan_distance,pearson_distance,0.6,0.4,0.7607
manhattan_distance,pearson_distance,0.65,0.35,0.7606
manhattan_distance,pearson_distance,0.7,0.3,0.7618
manhattan_distance,pearson_distance,0.75,0.25,0.7602
manhattan_distance,pearson_distance,0.8,0.2,0.7606
manhattan_distance,pearson_distance,0.85,0.15,0.7605
manhattan_distance,pearson_distance,0.9,0.1,0.7591
manhattan_distance,pearson_distance,0.95,0.05,0.7578
manhattan_distance,pearson_distance,1.0,0.0,0.7606
pearson_distance,cosine_distance,0.0,1.0,0.7586
pearson_distance,cosine_distance,0.05,0.95,0.7582
pearson_distance,cosine_distance,0.1,0.9,0.7582
pearson_distance,cosine_distance,0.15,0.85,0.7587
pearson_distance,cosine_distance,0.2,0.8,0.7594
pearson_distance,cosine_distance,0.25,0.75,0.7581
pearson_distance,cosine_distance,0.3,0.7,0.7585
pearson_distance,cosine_distance,0.35,0.65,0.7597
pearson_distance,cosine_distance,0.4,0.6,0.7611
pearson_distance,cosine_distance,0.45,0.55,0.762
pearson_distance,cosine_distance,0.5,0.5,0.7625
pearson_distance,cosine_distance,0.55,0.45,0.7626
pearson_distance,cosine_distance,0.6,0.4,0.764
pearson_distance,cosine_distance,0.65,0.35,0.7644
pearson_distance,cosine_distance,0.7,0.3,0.7649
pearson_distance,cosine_distance,0.75,0.25,0.764
pearson_distance,cosine_distance,0.8,0.2,0.7632
pearson_distance,cosine_distance,0.85,0.15,0.7617
pearson_distance,cosine_distance,0.9,0.1,0.7612
pearson_distance,cosine_distance,0.95,0.05,0.7613
pearson_distance,cosine_distance,1.0,0.0,0.7602
pearson_distance,euclidean_distance,0.0,1.0,0.7587
pearson_distance,euclidean_distance,0.05,0.95,0.7592
pearson_distance,euclidean_distance,0.1,0.9,0.7604
pearson_distance,euclidean_distance,0.15,0.85,0.7625
pearson_distance,euclidean_distance,0.2,0.8,0.7655
pearson_distance,euclidean_distance,0.25,0.75,0.7668
pearson_distance,euclidean_distance,0.3,0.7,0.7698
pearson_distance,euclidean_distance,0.35,0.65,0.7717
pearson_distance,euclidean_distance,0.4,0.6,0.7735
pearson_distance,euclidean_distance,0.45,0.55,0.7733
pearson_distance,euclidean_distance,0.5,0.5,0.7731
pearson_distance,euclidean_distance,0.55,0.45,0.7724
pearson_distance,euclidean_distance,0.6,0.4,0.7729
pearson_distance,euclidean_distance,0.65,0.35,0.7701
pearson_distance,euclidean_distance,0.7,0.3,0.769
pearson_distance,euclidean_distance,0.75,0.25,0.7672
pearson_distance,euclidean_distance,0.8,0.2,0.7663
pearson_distance,euclidean_distance,0.85,0.15,0.7648
pearson_distance,euclidean_distance,0.9,0.1,0.7627
pearson_distance,euclidean_distance,0.95,0.05,0.7618
pearson_distance,euclidean_distance,1.0,0.0,0.7602
pearson_distance,manhattan_distance,0.0,1.0,0.7587
pearson_distance,manhattan_distance,0.05,0.95,0.7595
pearson_distance,manhattan_distance,0.1,0.9,0.7601
pearson_distance,manhattan_distance,0.15,0.85,0.7625
pearson_distance,manhattan_distance,0.2,0.8,0.7659
pearson_distance,manhattan_distance,0.25,0.75,0.768
pearson_distance,manhattan_distance,0.3,0.7,0.7702
pearson_distance,manhattan_distance,0.35,0.65,0.7721
pearson_distance,manhattan_distance,0.4,0.6,0.7735
pearson_distance,manhattan_distance,0.45,0.55,0.7734
pearson_distance,manhattan_distance,0.5,0.5,0.7733
pearson_distance,manhattan_distance,0.55,0.45,0.7724
pearson_distance,manhattan_distance,0.6,0.4,0.7726
pearson_distance,manhattan_distance,0.65,0.35,0.7712
pearson_distance,manhattan_distance,0.7,0.3,0.7685
pearson_distance,manhattan_distance,0.75,0.25,0.7678
pearson_distance,manhattan_distance,0.8,0.2,0.7666
pearson_distance,manhattan_distance,0.85,0.15,0.7649
pearson_distance,manhattan_distance,0.9,0.1,0.7633
pearson_distance,manhattan_distance,0.95,0.05,0.7616
pearson_distance,manhattan_distance,1.0,0.0,0.7602
pearson_distance,pearson_distance,0.0,1.0,0.7586
pearson_distance,pearson_distance,0.05,0.95,0.7583
pearson_distance,pearson_distance,0.1,0.9,0.7582
pearson_distance,pearson_distance,0.15,0.85,0.7588
pearson_distance,pearson_distance,0.2,0.8,0.7578
pearson_distance,pearson_distance,0.25,0.75,0.7581
pearson_distance,pearson_distance,0.3,0.7,0.7589
pearson_distance,pearson_distance,0.35,0.65,0.7599
pearson_distance,pearson_distance,0.4,0.6,0.7606
pearson_distance,pearson_distance,0.45,0.55,0.7621
pearson_distance,pearson_distance,0.5,0.5,0.7626
pearson_distance,pearson_distance,0.55,0.45,0.7629
pearson_distance,pearson_distance,0.6,0.4,0.7641
pearson_distance,pearson_distance,0.65,0.35,0.7643
pearson_distance,pearson_distance,0.7,0.3,0.7649
pearson_distance,pearson_distance,0.75,0.25,0.7646
pearson_distance,pearson_distance,0.8,0.2,0.7631
pearson_distance,pearson_distance,0.85,0.15,0.7619
pearson_distance,pearson_distance,0.9,0.1,0.7612
pearson_distance,pearson_distance,0.95,0.05,0.7614
pearson_distance,pearson_distance,1.0,0.0,0.7602
